id;loc;row;lux;lux_f;males;side;temp;ambient_lux;date
1;A;1;8.06;8;0;L;NA;0.01;06.20.2023
2;A;2;4.1;5;0;L;NA;0.01;06.20.2023
3;A;3;1.94;2;0;L;NA;0.01;06.20.2023
4;A;4;1.07;1;0;L;NA;0.01;06.20.2023
5;A;5;0.52;0.5;0;L;NA;0.01;06.20.2023
7;B;1;7.36;8;0;L;NA;0.01;06.20.2023
8;B;2;4.29;5;0;L;NA;0.01;06.20.2023
9;B;3;2.11;2;0;L;NA;0.01;06.20.2023
10;B;4;1.12;1;0;L;NA;0.01;06.20.2023
11;B;5;0.57;0.5;0;L;NA;0.01;06.20.2023
19;A;1;8.63;8;0;L;NA;0.01;06.21.2023
20;A;2;3.14;5;0;L;NA;0.01;06.21.2023
21;A;3;1.95;2;0;L;NA;0.01;06.21.2023
22;A;4;1.1;1;0;L;NA;0.01;06.21.2023
23;A;5;0.47;0.5;0;L;NA;0.01;06.21.2023
25;B;1;7.21;8;0;L;NA;0.01;06.21.2023
26;B;2;4.1;5;0;L;NA;0.01;06.21.2023
27;B;3;2.01;2;0;L;NA;0.01;06.21.2023
28;B;4;1.12;1;0;L;NA;0.01;06.21.2023
29;B;5;0.28;0.5;0;L;NA;0.01;06.21.2023
37;A;1;8.15;8;0;L;NA;0.09;06.22.2023
38;A;2;3.72;5;0;L;NA;0.09;06.22.2023
39;A;3;1.43;2;0;L;NA;0.09;06.22.2023
40;A;4;1.09;1;0;L;NA;0.09;06.22.2023
41;A;5;0.47;0.5;0;L;NA;0.09;06.22.2023
43;B;1;7.98;8;0;L;NA;0.04;06.22.2023
44;B;2;4.29;5;0;L;NA;0.04;06.22.2023
45;B;3;2.08;2;0;L;NA;0.04;06.22.2023
46;B;4;1.18;1;0;L;NA;0.04;06.22.2023
47;B;5;0.54;0.5;0;L;NA;0.04;06.22.2023
55;A;1;NA;8;0;L;NA;NA;06.23.2023
56;A;2;NA;5;0;L;NA;NA;06.23.2023
57;A;3;NA;2;0;L;NA;NA;06.23.2023
58;A;4;NA;1;0;L;NA;NA;06.23.2023
