ID;region;locality;side;lux;splend;noct;days;type
1;Ricany;Ricany;RL1;1;0;0;1;biodyn
2;Ricany;Ricany;RL1;0.5;0;0;1;biodyn
3;Ricany;Ricany;RL1;0.1;4;0;3;biodyn
4;Ricany;Ricany;RL2;1;0;0;1;biodyn
5;Ricany;Ricany;RL2;0.5;0;0;1;biodyn
6;Ricany;Ricany;RL2;0.1;17;0;3;biodyn
7;Ricany;Ricany;RL3;1;0;0;1;biodyn
8;Ricany;Ricany;RL3;0.5;0;0;1;biodyn
9;Ricany;Ricany;RL3;0.1;12;0;3;biodyn
10;Sarka;Sarka;SL1;1;0;0;1;biodyn
11;Sarka;Sarka;SL1;0.5;0;0;1;biodyn
12;Sarka;Sarka;SL1;0.1;34;0;3;biodyn
13;Sarka;Sarka;SL2;1;0;0;1;biodyn
14;Sarka;Sarka;SL2;0.5;0;0;1;biodyn
15;Sarka;Sarka;SL2;0.1;4;0;3;biodyn
16;Sarka;Sarka;SL3;1;0;0;1;biodyn
17;Sarka;Sarka;SL3;0.5;0;0;1;biodyn
18;Sarka;Sarka;SL3;0.1;9;0;3;biodyn
19;Dalejske;Reporyje;L;1;0;0;23;sodium
20;Dalejske;Reporyje;P;1;1;0;23;sodium
21;Dalejske;Reporyje;L;0.5;8;2;23;sodium
22;Dalejske;Reporyje;P;0.5;3;5;23;sodium
23;Dalejske;Reporyje;L;0.1;19;1;23;sodium
24;Dalejske;Reporyje;P;0.1;8;3;23;sodium
25;Dalejske;Zlobiva;L;1;0;0;31;sodium
26;Dalejske;Zlobiva;P;1;0;0;31;sodium
27;Dalejske;Zlobiva;L;0.5;0;0;31;sodium
28;Dalejske;Zlobiva;P;0.5;1;0;31;sodium
29;Dalejske;Zlobiva;L;0.1;11;0;31;sodium
30;Dalejske;Zlobiva;P;0.1;9;0;31;sodium
31;Kunratice;Roztyly1;L;1;0;0;17;sodium
32;Kunratice;Roztyly1;P;1;0;0;17;sodium
33;Kunratice;Roztyly1;L;0.5;0;0;17;sodium
34;Kunratice;Roztyly1;P;0.5;0;0;17;sodium
35;Kunratice;Roztyly1;L;0.1;0;0;17;sodium
36;Kunratice;Roztyly1;P;0.1;4;0;17;sodium
37;Kunratice;Roztyly2;L;1;0;0;17;sodium
38;Kunratice;Roztyly2;P;1;0;0;17;sodium
39;Kunratice;Roztyly2;L;0.5;0;0;17;sodium
40;Kunratice;Roztyly2;P;0.5;0;0;17;sodium
41;Kunratice;Roztyly2;L;0.1;11;0;17;sodium
42;Kunratice;Roztyly2;P;0.1;14;0;17;sodium
43;Kunratice;Vaclav;L;1;1;0;10;sodium
44;Kunratice;Vaclav;P;1;1;0;10;sodium
45;Kunratice;Vaclav;L;0.5;0;0;10;sodium
46;Kunratice;Vaclav;P;0.5;1;0;10;sodium
47;Kunratice;Vaclav;L;0.1;7;0;10;sodium
48;Kunratice;Vaclav;P;0.1;3;0;10;sodium
49;Sarka;Les;L;1;0;0;16;LED
50;Sarka;Les;P;1;1;0;16;LED
51;Sarka;Les;L;0.5;3;0;16;LED
52;Sarka;Les;P;0.5;0;0;16;LED
53;Sarka;Les;L;0.1;15;0;16;LED
54;Sarka;Les;P;0.1;31;0;16;LED
55;Sarka;Koprivy;L;1;1;0;9;LED
56;Sarka;Koprivy;P;1;0;0;9;LED
57;Sarka;Koprivy;L;0.5;2;0;9;LED
58;Sarka;Koprivy;P;0.5;0;0;9;LED
59;Sarka;Koprivy;L;0.1;53;0;9;LED
60;Sarka;Koprivy;P;0.1;57;0;9;LED
61;Lenka;Lenka;L;1;0;0;38;sodium
62;Lenka;Lenka;P;1;0;0;38;sodium
63;Lenka;Lenka;L;0.5;1;0;38;sodium
64;Lenka;Lenka;P;0.5;1;0;38;sodium
65;Lenka;Lenka;L;0.1;1;0;38;sodium
66;Lenka;Lenka;P;0.1;5;0;38;sodium
67;Pavel;Pavel;L;1;0;0;29;sodium
68;Pavel;Pavel;P;1;0;0;29;sodium
69;Pavel;Pavel;L;0.5;0;0;29;sodium
70;Pavel;Pavel;P;0.5;0;0;29;sodium
71;Pavel;Pavel;L;0.1;5;0;29;sodium
72;Pavel;Pavel;P;0.1;1;0;29;sodium
73;Tom;Tom;L;1;0;0;15;LED
74;Tom;Tom;P;1;0;0;15;LED
75;Tom;Tom;L;0.5;3;0;15;LED
76;Tom;Tom;P;0.5;3;0;15;LED
77;Tom;Tom;L;0.1;76;0;15;LED
78;Tom;Tom;P;0.1;117;1;15;LED
