id;abund;lux;distance;line;trap;locality;timing
1;1;0.1;10;RL1;RL1;Ricany;control1
2;0;0.1;15;RL1;RL2;Ricany;control1
3;0;0.1;17.5;RL1;RL3;Ricany;control1
4;0;0.1;18.5;RL1;RL4;Ricany;control1
5;0;0.1;20;RL1;RL5;Ricany;control1
6;0;0.1;10;RL2;RS1;Ricany;control1
7;0;0.1;15;RL2;RS2;Ricany;control1
8;3;0.1;17.5;RL2;RS3;Ricany;control1
9;2;0.1;18.5;RL2;RS4;Ricany;control1
10;1;0.1;20;RL2;RS5;Ricany;control1
11;2;0.1;10;RL3;RO1;Ricany;control1
12;1;0.1;15;RL3;RO2;Ricany;control1
13;3;0.1;17.5;RL3;RO3;Ricany;control1
14;0;0.1;18.5;RL3;RO4;Ricany;control1
15;2;0.1;20;RL3;RO5;Ricany;control1
16;0;2;10;RL1;RL1;Ricany;light
17;0;1;15;RL1;RL2;Ricany;light
18;0;0.5;17.5;RL1;RL3;Ricany;light
19;0;0.2;18.5;RL1;RL4;Ricany;light
20;0;0.1;20;RL1;RL5;Ricany;light
21;0;2;10;RL2;RS1;Ricany;light
22;0;1;15;RL2;RS2;Ricany;light
23;0;0.5;17.5;RL2;RS3;Ricany;light
24;0;0.2;18.5;RL2;RS4;Ricany;light
25;1;0.1;20;RL2;RS5;Ricany;light
26;0;2;10;RL3;RO1;Ricany;light
27;0;1;15;RL3;RO2;Ricany;light
28;0;0.5;17.5;RL3;RO3;Ricany;light
29;0;0.2;18.5;RL3;RO4;Ricany;light
30;0;0.1;20;RL3;RO5;Ricany;light
31;0;0.1;10;RL1;RL1;Ricany;control2
32;2;0.1;15;RL1;RL2;Ricany;control2
33;0;0.1;17.5;RL1;RL3;Ricany;control2
34;0;0.1;18.5;RL1;RL4;Ricany;control2
35;1;0.1;20;RL1;RL5;Ricany;control2
36;1;0.1;10;RL2;RS1;Ricany;control2
37;0;0.1;15;RL2;RS2;Ricany;control2
38;0;0.1;17.5;RL2;RS3;Ricany;control2
39;4;0.1;18.5;RL2;RS4;Ricany;control2
40;5;0.1;20;RL2;RS5;Ricany;control2
41;0;0.1;10;RL3;RO1;Ricany;control2
42;0;0.1;15;RL3;RO2;Ricany;control2
43;0;0.1;17.5;RL3;RO3;Ricany;control2
44;1;0.1;18.5;RL3;RO4;Ricany;control2
45;3;0.1;20;RL3;RO5;Ricany;control2
46;3;0.1;10;SL1;SP1;Sarka;control1
47;2;0.1;15;SL1;SP2;Sarka;control1
48;2;0.1;17.5;SL1;SP3;Sarka;control1
49;2;0.1;18.5;SL1;SP4;Sarka;control1
50;13;0.1;20;SL1;SP5;Sarka;control1
51;3;0.1;10;SL2;SS1;Sarka;control1
52;1;0.1;15;SL2;SS2;Sarka;control1
53;0;0.1;17.5;SL2;SS3;Sarka;control1
54;0;0.1;18.5;SL2;SS4;Sarka;control1
55;0;0.1;20;SL2;SS5;Sarka;control1
56;5;0.1;10;SL3;SC1;Sarka;control1
57;1;0.1;15;SL3;SC2;Sarka;control1
58;0;0.1;17.5;SL3;SC3;Sarka;control1
59;0;0.1;18.5;SL3;SC4;Sarka;control1
60;2;0.1;20;SL3;SC5;Sarka;control1
61;0;2;10;SL1;SP1;Sarka;light
62;0;1;15;SL1;SP2;Sarka;light
63;0;0.5;17.5;SL1;SP3;Sarka;light
64;0;0.2;18.5;SL1;SP4;Sarka;light
65;2;0.1;20;SL1;SP5;Sarka;light
66;0;2;10;SL2;SS1;Sarka;light
67;0;1;15;SL2;SS2;Sarka;light
68;0;0.5;17.5;SL2;SS3;Sarka;light
69;0;0.2;18.5;SL2;SS4;Sarka;light
70;0;0.1;20;SL2;SS5;Sarka;light
71;0;2;10;SL3;SC1;Sarka;light
72;0;1;15;SL3;SC2;Sarka;light
73;0;0.5;17.5;SL3;SC3;Sarka;light
74;0;0.2;18.5;SL3;SC4;Sarka;light
75;0;0.1;20;SL3;SC5;Sarka;light
76;0;0.1;10;SL1;SP1;Sarka;control2
77;2;0.1;15;SL1;SP2;Sarka;control2
78;2;0.1;17.5;SL1;SP3;Sarka;control2
79;0;0.1;18.5;SL1;SP4;Sarka;control2
80;6;0.1;20;SL1;SP5;Sarka;control2
81;0;0.1;10;SL2;SS1;Sarka;control2
82;0;0.1;15;SL2;SS2;Sarka;control2
83;0;0.1;17.5;SL2;SS3;Sarka;control2
84;0;0.1;18.5;SL2;SS4;Sarka;control2
85;0;0.1;20;SL2;SS5;Sarka;control2
86;0;0.1;10;SL3;SC1;Sarka;control2
87;0;0.1;15;SL3;SC2;Sarka;control2
88;0;0.1;17.5;SL3;SC3;Sarka;control2
89;1;0.1;18.5;SL3;SC4;Sarka;control2
90;0;0.1;20;SL3;SC5;Sarka;control2
